Date	DoW M=1	Local Time	Country	State	City	Zip Code	Method of Payment	Vendor	Purchaser	Good or Service	Note/Comments	Exp'd?	Reimb?	Recur?	Traveling?	In Pers?	Debit	Credit
43285	3	0.677083333	N/A	N/A	Online	N/A	Barclay MasterCard	AICPA	NPH	CPE	CPE Materials	No	No	No		No	-379.23	
43285	3	0.5	N/A	N/A	Nowhere	N/A	None	None	Joint	No Transactions	No Transactions Today	No	No	No		No	0	
43284	2	0.291666667	N/A	N/A	Online	N/A	Barclay MasterCard	Netflix	Joint	Fee	Netflix Subscription	No	No	No		Yes	-12.02	
43283	1	0.510416667	Switzerland	Basel Stadt	Basel	4054	Barclay MasterCard	BVB	Joint	Metro	Tickets for Phil & Lydia	No	No	No		Yes	-7.67	
43283	1	0.291666667	N/A	N/A	Online	N/A	Barclay MasterCard	ExtraSpace Storage	Joint	Rent	Storage Rent	Yes	No	No		Yes	-175.37	
43283	1	0.291666667	N/A	N/A	Online	N/A	Bank of America Checking	Skype	CGPR	Phone	Monthly Skype Charge	No	No	Yes		No	-5.49	
43282	7	0.385416667	N/A	N/A	Online	N/A	Barclay MasterCard	Zoku	Joint	Hotel	Stay in Amsterdam	No	No	No		No	-240.22	
43282	7	0.291666667	N/A	N/A	Online	N/A	Barclay MasterCard	Patreon	CGPR	Donation	News Service Fee	No	No	Yes		No	-2.99	
43281	6	0.833333333	Switzerland	Bern	Gimmelwald	3826	Barclay MasterCard	Pension Gimmelwald	Joint	Meal Out	Dinner out w/ Phil	No	No	No		Yes	-106.04	
43280	5	0.541666667	N/A	N/A	Online	N/A	Barclay MasterCard	EasyJet	NPH	Airfare	BSL --> AMS --> BSL	No	No	No		No	-167.51	
43280	5	0.364583333	N/A	N/A	Online	N/A	Barclay MasterCard	Barclay MasterCard	Joint	Point Redemption	Points Redeemed for Travel	No	No	No		No	0	200
43280	5	0.364583333	N/A	N/A	Online	N/A	Bank of America Checking	Barclay MasterCard	Joint	Credit Card Payment	Irregular CC Payment	No	No	No		No	-358.07	358.07
43280	5	0.364583333	N/A	N/A	Online	N/A	Bank of America Checking	Chase Visa	Joint	Credit Card Payment	Irregular CC Payment	No	No	No		No	-12.99	12.99
43280	5	0.333333333	N/A	N/A	Online	N/A	Chase Visa	Privacy Assist	CGPR	Credit Monitoring	Monthly Credit Monitoring	No	No	Yes		No	-12.99	
43279	4	0.5	N/A	N/A	Nowhere	N/A	None	None	Joint	No Transactions	No Transactions Today	No	No	No		No	0	
43279	4	0.291666667	N/A	N/A	Online	N/A	Johnson & Johnson	Bank of America Checking	CGPR	Salary	Salary 06.18 - 07.01	No	No	Yes		No	0	3509.6
43278	3	0.5	Switzerland	Basel Stadt	Basel	4051	Barclay MasterCard	Dean & David	NPH	Lunch	Lunch w/ Vinzenz	No	No	No		Yes	-42.25	
43277	2	0.729166667	Czechia	Prague	Prague	N/A	Barclay MasterCard	Jaroslav Pitonak	CGPR	Taxi	Ride from Airport	Yes	No	No		Yes	37.06	
43277	2	0.604166667	Switzerland	Basel Stadt	Basel	4051	Barclay MasterCard	Läderach	CGPR	Gift	Chocolates for Yana	No	No	No		Yes	-51.75	
43276	1	0.5	N/A	N/A	Nowhere	N/A	None	None	Joint	No Transactions	No Transactions Today	No	No	No		No	0	
43275	7	0.5	N/A	N/A	Nowhere	N/A	None	None	Joint	No Transactions	No Transactions Today	No	No	No		No	0	
43274	6	0.927083333	Germany	Baden-Württemberg	Lörrach	79539	Barclay MasterCard	Deutsche Bahn	NPH	Trainfare	Tickets to Basel	No	No	No		Yes	-7.94	
43274	6	0.8125	Germany	Baden-Württemberg	Lörrach	79539	Bank of America Checking	Bank of America	Joint	Fee	International ATM Fee	No	No	No		Yes	-3.5	
43274	6	0.8125	Germany	Baden-Württemberg	Lörrach	79539	Bank of America Checking	Euros	NPH	Forex	EUR	No	No	No		Yes	-116.76	100
43274	6	0.78125	Germany	Baden-Württemberg	Lörrach	79539	Barclay MasterCard	1456 Arber	NPH	Meal Out	Dinner out w/ Phil	No	No	No		Yes	-42.03	
43274	6	0.677083333	Switzerland	Basel Stadt	Basel	4058	Barclay MasterCard	Deutsche Bahn	NPH	Trainfare	Tickets to Lörrach	No	No	No		Yes	-7.94	
43274	6	0.625	Switzerland	Basel Stadt	Basel	4058	Barclay MasterCard	Bar du Nord	NPH	Meal Out	Beers w/ Phil	No	No	No		Yes	-16.18	
43274	6	0.489583333	Switzerland	Basel Stadt	Basel	4051	Barclay MasterCard	Brezelkönig	CGPR	Lunch	Solo Lunch Out	No	No	No		Yes	-10.44	
43273	5	0.625	Switzerland	Basel Stadt	Basel	4052	Barclay MasterCard	Das Viertel	NPH	Meal Out	Beers w/ Phil	No	No	No		Yes	-20.74	
43273	5	0.458333333	France	Grand Est	Saint Louis	68300	Barclay MasterCard	La Fournée	Joint	Groceries	Cakes for Parties	No	No	No		Yes	-86.39	
43273	5	0.375	N/A	N/A	Online	N/A	Bank of America Checking	Barclay MasterCard	Joint	Credit Card Payment	Irregular CC Payment	No	No	No		No	-3257.35	3257.35
43272	4	0.75	Switzerland	Basel Stadt	Basel	4051	Barclay MasterCard	Soho	NPH	Meal Out	Beers w/ Phil	No	No	No		Yes	-35.35	
43271	3	0.625	N/A	N/A	Online	N/A	Barclay MasterCard	AICPA	NPH	Professional Dues	Annual Membership Renewal	No	No	No		No	-145	
43271	3	0.5	N/A	N/A	Nowhere	N/A	None	None	Joint	No Transactions	No Transactions Today	No	No	No		No	0	
43271	3	0.333333333	N/A	N/A	Online	N/A	Ally Bank	Ally Bank Savings Account	Joint	Interest	Monthly Interest Deposit	No	No	No		No	0	20.97
43270	2	0.604166667	N/A	N/A	Online	N/A	Barclay MasterCard	VSCPA	NPH	CPE	Virigina CPA Ethics: 2018 Required Course	Yes	No	No		No	-59	
43270	2	0.291666667	N/A	N/A	Online	N/A	Barclay MasterCard	Spotify	Joint	Music Streaming	Monthly Music Streaming	No	No	Yes		No	-15.98	
43269	1	0.5	N/A	N/A	Nowhere	N/A	None	None	Joint	No Transactions	No Transactions Today	No	No	No		No	0	
43268	7	0.864583333			Basel		Barclay MasterCard	Acento Argentino	Joint	Meal Out	Halftime Snack	No	No	No		Yes	18.1	
43267	6	0.760416667			Basel		Barclay MasterCard	Flanagan's Irish Pub	Joint	Snack	Beers	No	No	No		Yes	-16.09	
43267	6	0.739583333			Basel		Barclay MasterCard	Massimo Dutti	CGPR	Clothing	Shirt	No	No	No		Yes	-30.06	
43267	6	0.729166667			Basel		Barclay MasterCard	Food Truck	Joint	Snack	Snack	No	No	No		Yes	-14.07	
43266	5	0.5625			Online		Bank of America Checking	PostFinance Checking	Joint	Forex	CHF	No	No	No		No	-1011.02	1000
43266	5	0.5			Nowhere		None	None	Joint	No Transactions	No Transactions Today	No	No	No		No	0	
43265	4	0.5			Nowhere		None	None	Joint	No Transactions	No Transactions Today	No	No	No		No	0	
43265	4	0.291666667	N/A	N/A	Online	N/A	Cartus	Bank of America Checking	Joint	Reimbursement	Reimburse Travel Expenses	No	Yes	No		No	0	175.37
43265	4	0.291666667			Online		Johnson & Johnson	Bank of America Checking	CGPR	Salary	Salary 06.04 - 06.17	No	No	Yes		No	0	3509.6
43264	3	0.833333333			Online		Barclay MasterCard	Amazon	Joint	Hygiene	Replacement Toothbrush Heads	No	No	No		No	-51.18	
43263	2	0.854166667			Online		Barclay MasterCard	Amazon	Joint	Movie	Thor: Ragnarok	No	No	No		No	-4.21	
43263	2	0.739583333			Basel		Barclay MasterCard	Pure Aveda	CGPR	Hygiene	Haircut for Cyn	No	No	No		Yes	-107.11	
43262	1	0.53125			Online		Bank of America Checking	Barclay MasterCard	Joint	Credit Card Payment	Irregular CC Payment	No	No	No		No	-22.88	22.88
43262	1	0.5			Nowhere		None	None	Joint	No Transactions	No Transactions Today	No	No	No		No	0	
43262	1	0.416666667			Online		Bank of America Checking	J&J AmEx	CGPR	Trainfare	Train ride in October 2017	No	No	No		No	-42.1	
43262	1	0.364583333			Online		Bank of America Checking	Bank of America MasterCard	NPH	Credit Card Payment	Regular CC Payment	No	No	No		No	-12.99	12.99
43261	7	0.916666667			Basel		Barclay MasterCard	Mandir	Joint	Meal Out	Dinner out w/ Tubi	No	No	No		Yes	-132.65	
43261	7	0.65625			CDG		Barclay MasterCard	Bert's	Joint	Lunch	Preflight Lunch	No	No	No		Yes	-9.33	
43261	7	0.645833333			CDG		Barclay MasterCard	Laduree	Joint	Snack	Snack	No	No	No		Yes	-7.05	
43261	7	0.447916667			OSL		Barclay MasterCard	Tanum	Joint	Gift	Souvenirs	No	No	No		Yes	-1.86	
43261	7	0.447916667			OSL		Barclay MasterCard	Northland	Joint	Snack	Preflight Snack	No	No	No		Yes	-11.05	
43261	7	0.447916667			OSL		Barclay MasterCard	W. B. Samson	Joint	Snack	Preflight Snack	No	No	No		Yes	-10.72	
43261	7	0.40625			Oslo		Barclay MasterCard	7 Eleven	NPH	Snack	Snack	No	No	No		Yes	-4.72	
43261	7	0.40625			Oslo		Barclay MasterCard	Starbucks	Joint	Meal Out	Preflight Breakfast	No	No	No		Yes	-34.77	
43260	6	0.833333333			Oslo		Barclay MasterCard	Rema	Joint	Groceries	Groceries	No	No	No		Yes	-12.03	
43260	6	0.8125			Oslo		Barclay MasterCard	Buns Burger Bar	Joint	Meal Out	Dinner out w/ Tubi	No	No	No		Yes	-88.15	
43260	6	0.666666667			Oslo		Barclay MasterCard	Paradis Gelateria	Joint	Snack	Ice Cream	No	No	No		Yes	-11.17	
43260	6	0.614583333			Oslo		Barclay MasterCard	Torget	Joint	Meal Out	Beers	No	No	No		Yes	-26.07	
43260	6	0.604166667			Oslo		Barclay MasterCard	Pancake Heaven	Joint	Snack	Pancakes	No	No	No		Yes	-10.55	
43260	6	0.583333333			Oslo		Barclay MasterCard	Vulkanfisk	NPH	Lunch	Lunch out w/ Tubi	No	No	No		Yes	-24.83	
43260	6	0.583333333			Oslo		Barclay MasterCard	Vulkanfisk	CGPR	Lunch	Lunch out w/ Tubi	No	No	No		Yes	-18.5	
43260	6	0.541666667			Online		Barclay MasterCard	Air France	Joint	Fee	Checked Bag Fee	No	No	No		Yes	-35.39	
43260	6	0.541666667			Online		Barclay MasterCard	ATT	Joint	Phone	Monthly Phone Bill	No	No	Yes		No	-22.88	
43260	6	0.427083333			Oslo		Barclay MasterCard	Toyen Intermat	Joint	Groceries	Snacks	No	No	No		Yes	-12.17	
43260	6	0.416666667			Oslo		Barclay MasterCard	Backstube	Joint	Meal Out	Breakfast out w/ Tubi	No	No	No		Yes	-28.68	
43259	5	0.916666667			Oslo		Barclay MasterCard	Wright Corner Pub	Joint	Meal Out	Drinks in Oslo	No	No	No		Yes	-44.32	
43259	5	0.8125			Oslo		Barclay MasterCard	7 Eleven	Joint	Metro	24 Hour Passes	No	No	No		Yes	-39.11	
43259	5	0.802083333			OSL		Barclay MasterCard	OSL International	Joint	Trainfare	Train to Oslo	No	No	No		Yes	-117.95	
43259	5	0.791666667			OSL		Barclay MasterCard	Joe & the Juice	CGPR	Snack	Snack	No	No	No		Yes	-10.93	
43259	5	0.75			HEL		Barclay MasterCard	Oak Barrel	Joint	Snack	Preflight Beer	No	No	No		Yes	-12.16	
43259	5	0.75			HEL		Global Blue	Barclay MasterCard	CGPR	Clothing	Tax Refund on Foreign Purchase	No	No	No		Yes	0	9.64
43259	5	0.666666667			Helsinki		Barclay MasterCard	Lentoasema	Joint	Trainfare	Train to HEL	No	No	No		Yes	-17.71	
43259	5	0.625			Helsinki		Barclay MasterCard	Kauniste	CGPR	Clothing	Wool Poncho	No	No	No		Yes	-82.66	
43259	5	0.604166667			Helsinki		Barclay MasterCard	SkyWheel Helsinki	CGPR	Ticket(s)	Ferris Wheel Tickets	No	No	No		Yes	-28.34	
43259	5	0.583333333			Helsinki		Barclay MasterCard	Gelatteria Oy	Joint	Snack	Ice Cream	No	No	No		Yes	-10.63	
43259	5	0.572916667			Helsinki		Barclay MasterCard	Marian Pikaruoka	Joint	Lunch	Lunch out w/ Tubi	No	No	No		Yes	-11.69	
43259	5	0.5			Helsinki		Barclay MasterCard	Kauniste	CGPR	Gift	Bag for Lydia	No	No	No		Yes	-28.34	
43259	5	0.458333333			Helsinki		Barclay MasterCard	Design Museum	Joint	Fee	Museum Entry	No	No	No		Yes	-35.42	
43259	5	0.427083333			Online		Bank of America Checking	Barclay MasterCard	Joint	Credit Card Payment	Irregular CC Payment	No	No	No		No	-190.45	190.45
43259	5	0.416666667			Helsinki		Barclay MasterCard	Café Fleuriste	Joint	Meal Out	Breakfast out w/ Tubi	No	No	No		Yes	-55.97	
43258	4	0.875			Helsinki		Barclay MasterCard	Juuri	Joint	Meal Out	Dinner out w/ Tubi	No	No	No		Yes	-213.11	
43258	4	0.791666667			Helsinki		Barclay MasterCard	Kankurin Tupa	Joint	Gift	Gifts for Tubi	No	No	No		Yes	-62.35	
43258	4	0.75			Online		Barclay MasterCard	Norwegian Airlines	Joint	Fee	Checked Bag Fee	No	No	No		Yes	-10.84	
43258	4	0.625			Helsinki		Barclay MasterCard	Lumi	CGPR	Clothing	Wallet	No	No	No		Yes	-207.19	
43258	4	0.541666667			Helsinki		Barclay MasterCard	Story Restaurant	Joint	Lunch	Lunch out w/ Tubi	No	No	No		Yes	-17.4	
43258	4	0.4375			Helsinki		Barclay MasterCard	JT-Line Oy	Joint	Boatfare	Ferry to Suomenlinna	No	No	No		Yes	-24.86	
43258	4	0.416666667			Helsinki		Barclay MasterCard	Café Ekberg	Joint	Meal Out	Breakfast out w/ Tubi	No	No	No		Yes	-50.32	
43258	4	0.333333333			Online		Bank of America MasterCard	Privacy Assist	NPH	Credit Monitoring	Monthly Credit Monitoring	No	No	Yes		No	-12.99	
43257	3	0.708333333			Helsinki		Barclay MasterCard	Alko Helsinki Etelaesp	Joint	Groceries	Beers	No	No	No		Yes	-14.54	
43257	3	0.666666667			Helsinki		Barclay MasterCard	Akateeminen	Joint	Gift	Souvenirs	No	No	No		Yes	-11.68	
43257	3	0.625			Helsinki		Barclay MasterCard	Kankurin Tupa	Joint	Gift	Souvenirs	No	No	No		Yes	-24.74	
43257	3	0.572916667			HEL		Barclay MasterCard	Lentoasema	Joint	Trainfare	Train to Helsinki	No	No	No		Yes	-17.76	
43257	3	0.447916667			ARL		Barclay MasterCard	Pressbyr	CGPR	Snack	Preflight Snack	No	No	No		Yes	-5.74	
43257	3	0.4375			ARL		Barclay MasterCard	World of Toys	Joint	Gift	Souvenirs	No	No	No		Yes	-21.71	
43257	3	0.427083333			ARL		Barclay MasterCard	Food Market	Joint	Meal Out	Preflight Breakfast	No	No	No		Yes	-12.48	
43257	3	0.416666667			Stockholm		Barclay MasterCard	Pendeltåg	Joint	Trainfare	Train to ARL	No	No	No		Yes	-38.14	
43257	3	0.395833333			Stockholm		Barclay MasterCard	Freys Lilla Rådmannen	Joint	Fee	Bike Rental	No	No	No		Yes	-56.86	
43256	2	0.875			Stockholm		Barclay MasterCard	Coop	Joint	Groceries	Groceries	No	No	No		Yes	-13.33	
43256	2	0.84375			Online		Barclay MasterCard	Norwegian Airlines	Joint	Fee	Checked Bag Fee	No	No	No		No	-10.83	
43256	2	0.791666667			Stockholm		Barclay MasterCard	Zara	CGPR	Clothing	Shirt	No	No	No		Yes	-30.69	
43256	2	0.78125			Stockholm		Barclay MasterCard	Rolfs Kok	Joint	Meal Out	Dinner out w/ Tubi	No	No	No		Yes	-241.24	
43256	2	0.666666667			Stockholm		Barclay MasterCard	Dressmann	NPH	Clothing	Sweater	No	No	No		Yes	-34.24	
43256	2	0.583333333			Stockholm		Barclay MasterCard	Nobel Museum	Joint	Fee	Museum Entry	No	No	No		Yes	-27.48	
43256	2	0.541666667			Stockholm		Barclay MasterCard	Nybroe	Joint	Lunch	Lunch w/ Tubi	No	No	No		Yes	-68.7	
43256	2	0.5			Stockholm		Barclay MasterCard	Vasa Museum	Joint	Snack	Snack	No	No	No		Yes	-20.61	
43256	2	0.458333333			Stockholm		Barclay MasterCard	Vasa Museum	Joint	Fee	Museum Entry	No	No	No		Yes	-29.77	
43256	2	0.416666667			Online		Barclay MasterCard	Freys Lilla Rådmannen	Joint	Hotel	Extra room for Tubi	No	No	No		Yes	-71.19	
43255	1	0.833333333			Stockholm		Barclay MasterCard	Knut	Joint	Meal Out	Dinner out w/ Tubi	No	No	No		Yes	-137.34	
43255	1	0.635416667			ARL		Barclay MasterCard	Pendeltåg	Joint	Trainfare	Train to Stockholm	No	No	No		Yes	-38	
43255	1	0.5			TXL		Barclay MasterCard	EasyJet	Joint	Fee	Hands Free Fee	No	No	No		Yes	-21.13	
43254	7	0.416666667			Berlin		Bank of America Checking	Bank of America	Joint	Fee	International ATM Fee	No	No	No		Yes	-7.03	
43254	7	0.416666667			Berlin		Bank of America Checking	Euros	Joint	Forex	EUR	No	No	No		Yes	-234.38	200
43254	7	0.291666667			Online		Barclay MasterCard	Netflix	Joint	Fee	Netflix Subscription	No	No	No		Yes	-12.09	
43253	6	0.916666667			Berlin		Barclay MasterCard	Nhow Hotel	Joint	Meal Out	Drinks w/ Jeannine	No	No	No		Yes	-38.66	
43253	6	0.604166667			Berlin		Barclay MasterCard	Rittersport	Joint	Snack	Snack w/ Jeannine	No	No	No		Yes	-13.71	
43253	6	0.541666667			Berlin		Barclay MasterCard	Peter Pane	Joint	Meal Out	Lunch w/ Jeannine & Laura	No	No	No		Yes	-99.57	
43253	6	0.458333333			Berlin		Barclay MasterCard	Schee	CGPR	Clothing	Backpack	No	No	No		Yes	-128.8	
43253	6	0.291666667			Online		Barclay MasterCard	ExtraSpace Storage	Joint	Rent	Storage Rent	Yes	No	No		Yes	-175.37	
43253	6	0.291666667			Online		Barclay MasterCard	Patreon	CGPR	Donation	News Service Fee	No	No	Yes		No	-2.99	
43252	5	0.739583333			BSL		Barclay MasterCard	EasyJet	Joint	Fee	Hands Free Fee	No	No	No		Yes	-16.26	
43252	5	0.5625			Online		Bank of America Checking	Barclay MasterCard	Joint	Credit Card Payment	Irregular CC Payment	No	No	No		No	-89	89
43252	5	0.291666667			Online		Bank of America Checking	Skype	CGPR	Phone	Skype Top-up	No	No	Yes		No	-10	
43251	4	0.583333333			Online		Bank of America Checking	Víctor Hugo Morán Ponce	Joint	Gift	For el cristalazo	No	No	No		No	-52.15	
43251	4	0.427083333			Online		Bank of America Checking	Barclay MasterCard	Joint	Credit Card Payment	Irregular CC Payment	No	No	No		No	-69.55	69.55
43251	4	0.427083333			Online		Bank of America Checking	Chase Visa	Joint	Credit Card Payment	Irregular CC Payment	No	No	No		No	-12.99	12.99
43251	4	0.333333333			Online		Chase Visa	Privacy Assist	CGPR	Credit Monitoring	Monthly Credit Monitoring	No	No	Yes		No	-12.99	
43251	4	0.291666667			Online		Barclay MasterCard	Barclay MasterCard	Joint	Fee	Annual Fee	No	No	No		No	-89	
43251	4	0.291666667			Online		Bank of America Checking	Skype	CGPR	Phone	Monthly Skype Charge	No	No	Yes		No	-5.49	
43251	4	0.291666667			Online		Johnson & Johnson	Bank of America Checking	CGPR	Salary	Salary 05.21 - 06.03	No	No	Yes		No	0	3478.69
43250	3	0.5			Nowhere		None	None	Joint	No Transactions	No Transactions Today	No	No	No		No	0	
43249	2	0.75			Basel		Barclay MasterCard	Pure Aveda	NPH	Hygiene	Haircut for Nick	No	No	No		Yes	-69.55	
43249	2	0.34375			Online		Bank of America Checking	Barclay MasterCard	Joint	Credit Card Payment	Irregular CC Payment	No	No	No		No	-288.42	288.42
43248	1	0.5			Nowhere		None	None	Joint	No Transactions	No Transactions Today	No	No	No		No	0	
43247	7	0.541666667			Geneva		Barclay MasterCard	Les Saveurs du Liban	Joint	Meal Out	Lunch out w/ Tubi	No	No	No		Yes	-126.22	
43246	6	0.458333333			Saint Louis		Barclay MasterCard	Jeans Road	CGPR	Gift	Scarf for Jeannine	No	No	No		Yes	-40.94	
43246	6	0.4375			Saint Louis		Bank of America Checking	Euros	CGPR	Forex	EUR	No	No	No		Yes	-182.26	150
43246	6	0.291666667			Online		Cartus	Bank of America Checking	Joint	Reimbursement	Reimburse Travel Expenses	No	Yes	No		No	0	175.37
43245	5	0.5			Nowhere		None	None	Joint	No Transactions	No Transactions Today	No	No	No		No	0	
43244	4	0.5			Nowhere		None	None	Joint	No Transactions	No Transactions Today	No	No	No		No	0	
43243	3	0.885416667			Basel		Barclay MasterCard	Restaurant Boo	Joint	Meal Out	Birthday dinner for Tubi	No	No	No		Yes	-121.26	
43242	2	0.84375			Online		Barbara Hartman	Bank of America Checking	Joint	Friend Receivable	Money for Woodcrafts	No	No	No		No	0	500
43242	2	0.614583333			Online		Bank of America Checking	Chase Visa	Joint	Credit Card Payment	Irregular CC Payment	No	No	No		No	-50.6	50.6
43242	2	0.5			Nowhere		None	None	Joint	No Transactions	No Transactions Today	No	No	No		No	0	
43241	1	0.5			Nowhere		None	None	Joint	No Transactions	No Transactions Today	No	No	No		No	0	
43241	1	0.479166667			Online		Bank of America Checking	Barclay MasterCard	Joint	Credit Card Payment	Irregular CC Payment	No	No	No		No	-1159.96	1159.96
43240	7	0.5			Nowhere		None	None	Joint	No Transactions	No Transactions Today	No	No	No		No	0	
43240	7	0.333333333			Online		Ally Bank	Ally Bank Savings Account	Joint	Interest	Monthly Interest Deposit	No	No	No		No	0	19.19
43239	6	0.291666667			Online		Barclay MasterCard	Spotify	Joint	Music Streaming	Monthly Music Streaming	No	No	Yes		No	-15.98	
43238	5	0.5			Nowhere		None	None	Joint	No Transactions	No Transactions Today	No	No	No		No	0	
43237	4	0.625			Online		Barclay MasterCard	J&J WHQ Store	Joint	Gift	Baby stuff for Xiomara	No	No	No		No	-32.9	
43237	4	0.291666667			Online		Johnson & Johnson	Bank of America Checking	CGPR	Salary	Salary 05.07 - 05.20	No	No	Yes		No	0	3478.7
43236	3	0.916666667			Basel		Barclay MasterCard	Molino Basel	Joint	Meal Out	Farewell dinner w/ Mom	No	No	No		Yes	-129.79	
43236	3	0.583333333			Neuchatel		Barclay MasterCard	Au Grain d'Orge	Joint	Groceries	Beer	No	No	No		Yes	-27.26	
43235	2	0.666666667			Bern		Barclay MasterCard	Holz Art Engel & So	NPH	Friend Receivable	Woodcrafts for Mom	No	No	No		Yes	-469.86	
43235	2	0.5			Nowhere		None	None	Joint	No Transactions	No Transactions Today	No	No	No		No	0	
43234	1	0.5			Nowhere		None	None	Joint	No Transactions	No Transactions Today	No	No	No		No	0	
43233	7	0.5			Luzern		Barclay MasterCard	Jam Jam	Joint	Meal Out	Brunch w/ Mom	No	No	No		Yes	-105.23	
43232	6	0.885416667			Luzern		Barclay MasterCard	Stern Luzern	Joint	Meal Out	Dinner out w/ Mom	No	No	No		Yes	-250.54	
43231	5	0.833333333			Luzern		Barclay MasterCard	Pastarazzi	Joint	Meal Out	Dinner out w/ Mom	No	No	No		Yes	-75.66	
43231	5	0.333333333			Online		Amazon	Barclay MasterCard	Joint	Furniture	Import Tax Credit on Air Mattress	No	No	No		No	0	7.82
43231	5	0.34375			Online		Bank of America Checking	Barclay MasterCard	Joint	Credit Card Payment	Irregular CC Payment	No	No	No		No	-22.88	22.88
43230	4	0.5			Nowhere		None	None	Joint	No Transactions	No Transactions Today	No	No	No		No	0	
43230	4	0.364583333			Online		Bank of America Checking	Barclay MasterCard	Joint	Credit Card Payment	Irregular CC Payment	No	No	No		No	-12.1	12.1
43229	3	0.625			New Brunswick		Chase Visa	Super Fresh	CGPR	Groceries	Groceries	No	No	No		Yes	-11.15	
43229	3	0.541666667			Online		Barclay MasterCard	ATT	Joint	Phone	Monthly Phone Bill	No	No	Yes		No	-22.88	
43229	3	0.375			New Brunswick		Chase Visa	Hidden Grounds	CGPR	Coffee Out	Morning Coffee Out	No	No	No		Yes	-39.45	
43229	3	0.333333333			Online		Bank of America Checking	Barclay MasterCard	Joint	Credit Card Payment	Irregular CC Payment	No	No	No		No	-112.97	112.97
43228	2	0.5			Nowhere		None	None	Joint	No Transactions	No Transactions Today	No	No	No		No	0	
43228	2	0.3125			New Brunswick		Barclay MasterCard	N B Healthfood	CGPR	Snack	Juice and Peanut Butter	No	No	No		Yes	-12.1	
43228	2	0.25			New Brunswick		Barclay MasterCard	Orange Theory Fitness	CGPR	Gym	10-pack	No	No	No		Yes	-28	
43227	1	0.625			New Brunswick		Barclay MasterCard	J&J WHQ Store	CGPR	Hygiene	Productitos	No	No	No		Yes	-17.27	
43227	1	0.552083333			New Brunswick		Barclay MasterCard	Uber	CGPR	Taxi	Ride to Work	No	No	No		Yes	-11.59	
43227	1	0.510416667			New Brunswick		Barclay MasterCard	Uber	CGPR	Taxi	Ride to Storage	No	No	No		Yes	-12.08	
43226	7	0.666666667			ZRH		Barclay MasterCard	Confiserie Sprungli	CGPR	Gift	Chocolates for Kim & Lisa	No	No	No		Yes	-44.03	
